,start,end,duration,B_avg,B_max,beta_avg,V_avg,T_avg,Np_avg,scale_length,peak_time,sigm,sigc,sigr
45,2017-11-05 10:28:00.044156,2017-11-05 10:28:50.955844,0.84853,10.77719,12.63263,6.86239,221.88506,1556400.7044,11.22492,11296.54303,2017-11-05 10:28:25.500,-0.809,0.437,0.453
46,2017-11-05 10:34:59.921641,2017-11-05 10:42:24.078359,7.40261,17.50489,21.2111,2.47356,291.16569,1558240.4423,8.75292,129323.19788,2017-11-05 10:38:42.000,0.806,0.236,0.342
47,2017-11-05 10:49:59.987854,2017-11-05 10:51:06.012146,1.1004,18.52869,19.74019,1.53753,243.6716,2056479.68726,6.35136,16088.24454,2017-11-05 10:50:33.000,-0.783,0.23,0.012
48,2017-11-05 10:55:30.410916,2017-11-05 10:59:32.589084,4.0363,14.89278,22.682,3.43286,193.61798,1671056.09772,9.34587,46890.04843,2017-11-05 10:57:31.500,-0.954,0.146,-0.831
49,2017-11-05 11:03:40.254175,2017-11-05 11:09:22.745825,5.70819,18.05235,23.35294,2.0687,228.23601,1941212.49835,8.07076,78168.92664,2017-11-05 11:06:31.500,-0.834,-0.588,-0.243
50,2017-11-05 11:13:38.508351,2017-11-05 11:25:03.491649,11.41639,20.54908,23.13888,1.10176,140.56372,5646157.5076,2.76734,96283.80381,2017-11-05 11:19:21.000,-0.785,-0.591,-0.5
51,2017-11-05 11:28:22.227729,2017-11-05 11:29:22.772271,1.00908,21.66445,22.32407,0.87073,74.41452,9609274.43726,1.15045,4505.39309,2017-11-05 11:28:52.500,-0.821,-0.088,-0.531
52,2017-11-05 11:30:02.255104,2017-11-05 11:36:15.744896,6.22483,16.7817,18.07114,2.28441,45.73833,18408456.49908,0.92058,17082.7982,2017-11-05 11:33:09.000,-0.871,-0.034,-0.146
53,2017-11-05 11:36:19.544156,2017-11-05 11:37:10.455844,0.84853,24.01372,24.81438,0.61798,135.11242,2649589.82595,3.33293,6878.8016,2017-11-05 11:36:45.000,0.688,0.49,-0.287
54,2017-11-05 11:38:49.313776,2017-11-05 11:40:22.686224,1.55621,20.38382,20.9196,1.16988,38.97712,10064224.63878,1.29469,3639.38867,2017-11-05 11:39:36.000,0.86,-0.372,0.288
55,2017-11-05 11:41:36.088312,2017-11-05 11:43:17.911688,1.69706,17.18037,18.89987,2.22095,57.01698,15320528.9931,1.12651,5805.66172,2017-11-05 11:42:27.000,0.943,0.039,-0.375
