,start,end,duration,B_avg,B_max,beta_avg,V_avg,T_avg,Np_avg,scale_length,peak_time,sigm,sigc,sigr
41,2009-06-20 16:06:51.330067,2009-06-20 16:34:28.594733,27.62108,18.54008,21.48015,8.38998,211.35223,2820341.45052,26.20502,350266.5876,2009-06-20 16:20:39.962400,-0.821,0.238,0.266
42,2009-06-20 16:36:35.722800,2009-06-20 16:38:10.705200,1.58304,4.5629,4.62782,59.33679,257.44919,4211217.34339,8.26171,24453.14154,2009-06-20 16:37:23.214000,-0.834,0.221,-0.885
43,2009-06-20 16:40:33.121407,2009-06-20 16:58:27.724593,17.91005,14.93282,26.6347,21.24015,237.77616,3198281.41401,34.14276,255515.02388,2009-06-20 16:49:30.423000,-0.903,-0.081,0.837
44,2009-06-20 17:07:21.949933,2009-06-20 17:15:34.657667,8.2118,8.56274,26.5839,39.30039,254.15321,4233765.3103,15.66111,125223.25421,2009-06-20 17:11:28.303800,-0.899,0.249,0.228
45,2009-06-20 17:18:58.467879,2009-06-20 17:20:11.709321,1.22069,6.7246,7.73203,31.70898,301.17873,4975748.04982,7.9029,22058.76472,2009-06-20 17:19:35.088600,0.78,0.002,-1.0
46,2009-06-20 17:22:53.900607,2009-06-20 17:40:48.503793,17.91005,7.09262,12.76608,32.8193,295.94337,4924391.94335,7.88519,318021.69141,2009-06-20 17:31:51.202200,-0.858,0.301,0.871
47,2009-06-20 17:51:00.859157,2009-06-20 17:53:27.342043,2.44138,22.86627,34.18063,13.3875,275.03712,2751144.42337,39.18586,40288.23055,2009-06-20 17:52:14.100600,-0.941,0.038,-0.996
48,2009-06-20 17:55:25.038778,2009-06-20 17:56:52.138022,1.45165,20.45559,27.49092,11.28529,258.57101,2958827.55762,35.34497,22521.33962,2009-06-20 17:56:08.588400,-0.859,0.027,-0.999
49,2009-06-20 17:57:20.558241,2009-06-20 18:20:34.146159,23.22647,16.75613,29.37354,23.54959,227.86578,3073205.61202,33.47256,317550.99776,2009-06-20 18:08:57.352200,-0.769,-0.053,0.888
50,2009-06-20 18:22:47.099620,2009-06-20 18:24:06.969980,1.33117,19.20047,26.03112,13.46773,205.3843,2785342.0962,36.3608,16404.11754,2009-06-20 18:23:27.034800,0.895,0.001,-1.0
51,2009-06-20 18:24:33.973279,2009-06-20 18:26:17.552321,1.72632,18.11789,24.81534,12.99827,212.06288,2809199.85417,34.99048,21965.27001,2009-06-20 18:25:25.762800,0.788,-0.049,-0.998
52,2009-06-20 18:26:33.033989,2009-06-20 18:27:16.583611,0.72583,19.90357,28.5228,9.67986,216.25496,2921192.72601,31.39776,9417.82188,2009-06-20 18:26:54.808800,-0.82,-0.012,-1.0
53,2009-06-20 18:30:38.442325,2009-06-20 18:31:12.023675,0.55969,21.45798,26.1907,11.89434,214.38657,2583858.2214,48.02789,7199.39049,2009-06-20 18:30:55.233000,-0.819,-0.0,-1.0
54,2009-06-20 18:47:08.802600,2009-06-20 19:12:28.521000,25.32864,15.93356,20.74101,13.78428,226.04222,2579907.24963,31.55777,343520.51814,2009-06-20 18:59:48.661800,-0.753,-0.289,0.932
55,2009-06-20 19:33:12.203533,2009-06-20 19:41:24.911267,8.2118,18.64463,22.06552,9.9759,203.85611,2678964.95892,33.77667,100441.48007,2009-06-20 19:37:18.557400,0.895,0.044,-0.874
56,2009-06-20 19:57:11.800733,2009-06-20 20:30:02.631667,32.84718,21.51697,25.18573,6.81164,199.80158,2737888.9955,29.51474,393775.13536,2009-06-20 20:13:37.216200,-0.815,0.045,-0.021
57,2009-06-20 20:30:30.105441,2009-06-20 20:53:43.693359,23.22647,22.23213,30.00647,7.07912,227.38601,3147262.79984,28.3336,316882.38995,2009-06-20 20:42:06.899400,-0.814,0.374,0.095
